	Anaerobic
3760117	FALSE
269030	FALSE
4482745	FALSE
4400245	FALSE
325904	FALSE
235969	FALSE
4456771	FALSE
278735	FALSE
4479618	FALSE
316737	FALSE
1108144	FALSE
305967	FALSE
72214	FALSE
4475161	TRUE
1114337	TRUE
585568	FALSE
2860880	FALSE
1140434	FALSE
855812	FALSE
151344	TRUE
553318	FALSE
374897	FALSE
512414	FALSE
109057	FALSE
1107548	FALSE
4443384	FALSE
661170	FALSE
4473308	TRUE
4398746	FALSE
237144	FALSE
282549	TRUE
274011	FALSE
1107055	TRUE
766547	FALSE
260801	FALSE
4372908	FALSE
1766551	TRUE
100535	FALSE
2658745	TRUE
334709	FALSE
331649	FALSE
3429461	TRUE
171397	FALSE
636022	TRUE
208171	FALSE
1108984	FALSE
252636	TRUE
4076076	FALSE
4340148	FALSE
532762	FALSE
835972	TRUE
3211673	TRUE
333593	FALSE
702400	TRUE
151316	FALSE
2194481	FALSE
255470	TRUE
677590	TRUE
572137	FALSE
14134	TRUE
513117	TRUE
1114496	TRUE
536121	FALSE
1119266	FALSE
4375615	FALSE
341734	FALSE
2195623	TRUE
974817	FALSE
698647	FALSE
4343075	FALSE
590548	FALSE
4106309	TRUE
575079	FALSE
1109402	FALSE
1114110	FALSE
587505	FALSE
571072	FALSE
249848	TRUE
313522	FALSE
585574	FALSE
569893	FALSE
342034	FALSE
563202	FALSE
310378	FALSE
566357	TRUE
352526	FALSE
255100	FALSE
563693	FALSE
256652	TRUE
209886	TRUE
3867306	FALSE
557998	FALSE
1132905	FALSE
3660402	TRUE
1120649	TRUE
4359640	FALSE
70071	FALSE
1111255	FALSE
609371	TRUE
4362093	FALSE
2804605	TRUE
4465584	FALSE
833553	FALSE
