	Aerobic
321047	TRUE
1110665	TRUE
325735	TRUE
4413099	FALSE
83595	FALSE
249365	FALSE
809980	TRUE
320613	FALSE
699904	FALSE
570408	TRUE
155521	TRUE
4420771	TRUE
254686	FALSE
114811	TRUE
1112543	FALSE
353181	FALSE
151344	FALSE
324488	TRUE
230324	FALSE
554375	FALSE
227717	FALSE
588112	FALSE
681073	FALSE
1011514	FALSE
3085264	TRUE
837775	FALSE
309577	FALSE
4461079	TRUE
569884	FALSE
3154121	FALSE
343315	FALSE
4355195	FALSE
836059	FALSE
318309	TRUE
70494	FALSE
235042	FALSE
4369319	FALSE
1539143	FALSE
4369009	FALSE
2401319	TRUE
4388994	FALSE
553974	FALSE
811257	TRUE
4392826	TRUE
341734	FALSE
237482	TRUE
551347	FALSE
499902	FALSE
347853	FALSE
334363	TRUE
110525	FALSE
583231	FALSE
4475608	FALSE
327767	TRUE
230061	FALSE
591394	FALSE
107274	FALSE
4462887	FALSE
557998	FALSE
1062748	TRUE
3685327	TRUE
538178	FALSE
250908	FALSE
931727	TRUE
354725	TRUE
830956	FALSE
819561	TRUE
1016465	FALSE
28793	FALSE
1109458	TRUE
224880	TRUE
1144747	FALSE
262657	FALSE
