	Anaerobic
542933	FALSE
913229	FALSE
300387	FALSE
284672	FALSE
201237	FALSE
639712	FALSE
1134274	FALSE
4433034	FALSE
702400	TRUE
23652	FALSE
130922	FALSE
114176	FALSE
552508	TRUE
931727	FALSE
567670	FALSE
220524	FALSE
4254951	FALSE
1845162	FALSE
539735	FALSE
668615	FALSE
2051733	TRUE
155521	FALSE
681357	TRUE
330263	TRUE
529653	FALSE
4386366	FALSE
141154	FALSE
110317	TRUE
316573	FALSE
109057	FALSE
1136342	TRUE
4366342	TRUE
17901	FALSE
4451400	TRUE
808440	FALSE
298813	FALSE
154682	FALSE
1110814	TRUE
313493	FALSE
2191823	FALSE
234515	TRUE
4073887	FALSE
817013	FALSE
837605	TRUE
3905299	FALSE
578224	FALSE
2375130	FALSE
4343435	FALSE
302883	FALSE
4359327	FALSE
104310	FALSE
138575	TRUE
4478053	FALSE
171126	FALSE
2326885	FALSE
4469705	FALSE
788632	FALSE
1902911	FALSE
993127	TRUE
1128225	FALSE
1145468	TRUE
307425	FALSE
646478	FALSE
561066	FALSE
588787	FALSE
787877	FALSE
758320	TRUE
3240665	FALSE
626867	FALSE
830956	TRUE
350334	FALSE
842284	FALSE
575143	FALSE
543724	FALSE
4332665	FALSE
574883	FALSE
824974	TRUE
456617	FALSE
270376	TRUE
195925	FALSE
569953	TRUE
1086805	FALSE
1106318	FALSE
3706429	FALSE
1144747	FALSE
4397655	FALSE
335960	FALSE
1010113	FALSE
240170	FALSE
1560939	TRUE
4458619	FALSE
101553	FALSE
4322208	FALSE
4367491	TRUE
678059	FALSE
242119	FALSE
40401	FALSE
2932342	TRUE
313926	FALSE
235042	FALSE
255671	TRUE
325677	FALSE
632346	FALSE
590604	TRUE
1003206	FALSE
824043	FALSE
238940	FALSE
693124	FALSE
1107711	TRUE
285497	FALSE
4317477	FALSE
4374557	FALSE
225370	TRUE
1107031	TRUE
513927	TRUE
4342531	TRUE
4466240	FALSE
1539143	FALSE
4297284	FALSE
1068470	FALSE
2738701	FALSE
4453726	FALSE
112337	FALSE
4342066	FALSE
689621	FALSE
817451	FALSE
206114	FALSE
250908	TRUE
2579939	FALSE
335383	FALSE
2376926	TRUE
2806353	FALSE
1026431	FALSE
3956482	FALSE
132661	FALSE
141607	FALSE
1078375	FALSE
949545	FALSE
251620	FALSE
136286	FALSE
212239	FALSE
33606	FALSE
664541	TRUE
316772	FALSE
4477837	FALSE
4347887	FALSE
563796	FALSE
324488	FALSE
270104	FALSE
62921	FALSE
1040796	FALSE
4106309	TRUE
1114358	FALSE
1104793	FALSE
208171	FALSE
4298791	TRUE
978072	FALSE
150851	FALSE
4297214	TRUE
587581	TRUE
238741	FALSE
2853353	TRUE
565514	FALSE
1797097	TRUE
549206	TRUE
239868	FALSE
317953	FALSE
210958	TRUE
1127642	FALSE
329032	FALSE
3290338	FALSE
3457597	TRUE
556139	TRUE
4396860	FALSE
510839	TRUE
573757	FALSE
234196	FALSE
517031	FALSE
4313359	FALSE
542071	FALSE
939545	TRUE
824904	FALSE
107506	FALSE
129508	TRUE
234654	FALSE
668009	FALSE
3348667	FALSE
72214	FALSE
576679	FALSE
557211	FALSE
811571	FALSE
215441	TRUE
4434699	FALSE
321346	TRUE
351673	TRUE
269907	TRUE
4326288	TRUE
543572	FALSE
4420763	FALSE
849585	FALSE
824583	FALSE
3860285	FALSE
3076501	FALSE
4387837	FALSE
863019	FALSE
253315	FALSE
310439	FALSE
4420771	FALSE
257492	TRUE
4298967	TRUE
256575	FALSE
235527	TRUE
333130	TRUE
134174	TRUE
1967331	FALSE
3590660	FALSE
814148	FALSE
178263	FALSE
14475	FALSE
4064681	FALSE
994959	FALSE
4244621	FALSE
4320593	FALSE
3843951	FALSE
809380	TRUE
274447	FALSE
639286	TRUE
4355481	FALSE
348570	FALSE
4456771	FALSE
4195126	FALSE
1112881	FALSE
268483	TRUE
128429	FALSE
833257	FALSE
72559	FALSE
1087298	FALSE
114821	TRUE
1111413	FALSE
279010	FALSE
1011514	FALSE
680079	FALSE
538924	TRUE
761601	FALSE
4475161	TRUE
313174	FALSE
346019	FALSE
3192521	FALSE
4388994	FALSE
1135562	FALSE
179922	TRUE
622992	FALSE
4405880	FALSE
4462876	TRUE
1114337	TRUE
761592	FALSE
2715999	FALSE
3254194	FALSE
252374	FALSE
4415166	FALSE
83349	FALSE
255802	FALSE
4481861	FALSE
347501	FALSE
1059762	FALSE
180089	FALSE
539508	FALSE
4377104	FALSE
1111111	FALSE
254951	FALSE
1897766	TRUE
772190	FALSE
806030	FALSE
354247	FALSE
4435532	TRUE
727369	FALSE
342034	FALSE
4443105	FALSE
993455	FALSE
943138	FALSE
10724	FALSE
320773	TRUE
146126	FALSE
4439294	TRUE
4343065	TRUE
4430489	FALSE
574835	FALSE
577018	FALSE
4340807	TRUE
304801	FALSE
2401319	FALSE
4357289	FALSE
4425801	FALSE
460236	FALSE
206386	FALSE
4408637	TRUE
152130	FALSE
3760116	FALSE
247441	FALSE
181641	FALSE
548050	TRUE
806474	FALSE
4374027	TRUE
275275	TRUE
14917	FALSE
590137	TRUE
573035	FALSE
2055428	FALSE
575067	TRUE
291315	TRUE
166322	TRUE
4454356	FALSE
4329303	FALSE
314297	FALSE
4483262	FALSE
1106960	FALSE
256758	FALSE
790466	TRUE
791815	TRUE
4236006	FALSE
686219	FALSE
60179	FALSE
832359	FALSE
16864	FALSE
